City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
monte carmelo,-18.7247,-47.4986,28.29,60,89,2.91,BR,-10800
bredasdorp,-34.5322,20.0403,21.0,64,89,4.63,ZA,7200
itaituba,-4.2761,-55.9836,34.0,55,40,5.14,BR,-10800
jinji,23.2281,110.8261,17.69,55,29,0.6,CN,28800
yulara,-25.2406,130.9889,21.0,68,90,6.69,AU,34200
butaritari,3.0707,172.7902,26.83,84,100,6.37,KI,43200
thompson,55.7435,-97.8558,-23.0,77,90,5.14,CA,-21600
bluff,-46.6,168.3333,7.99,82,34,3.53,NZ,46800
klaksvik,62.2266,-6.589,1.0,64,20,7.72,FO,0
hofn,64.2539,-15.2082,2.11,80,100,5.78,IS,0
pevek,69.7008,170.3133,-25.31,79,0,3.75,RU,43200
punta arenas,-53.15,-70.9167,18.0,42,0,15.95,CL,-10800
listvyanskiy,54.4399,83.4984,-15.52,94,100,2.63,RU,25200
rikitea,-23.1203,-134.9692,25.7,69,99,4.94,PF,-32400
pangai,-19.8,-174.35,27.25,85,100,6.65,TO,46800
zeya,53.75,127.2667,-29.89,83,68,0.85,RU,32400
hithadhoo,-0.6,73.0833,28.04,76,73,4.9,MV,18000
tucume,-6.51,-79.8583,30.56,61,0,6.69,PE,-18000
havre-saint-pierre,50.2334,-63.5986,2.0,87,90,3.09,CA,-18000
albany,42.6001,-73.9662,2.22,49,7,1.34,US,-18000
lebu,-37.6167,-73.65,21.82,51,1,2.47,CL,-10800
tucumcari,35.1717,-103.725,5.0,56,75,4.12,US,-25200
kamaishi,39.2667,141.8833,-4.99,88,24,9.76,JP,32400
puerto escondido,15.85,-97.0667,29.0,74,40,2.06,MX,-21600
kalabo,-14.97,22.6814,21.78,82,51,1.65,ZM,7200
tello,3.0669,-75.1378,30.68,49,49,0.82,CO,-18000
labuhan,-6.8844,112.2051,25.73,87,87,6.62,ID,25200
palmer,42.1584,-72.3287,2.22,55,75,3.6,US,-18000
grand gaube,-20.0064,57.6608,26.67,76,1,2.68,MU,14400
jamestown,42.097,-79.2353,0.0,64,1,1.54,US,-18000
karasuk,53.7377,78.0403,-14.63,91,92,0.71,RU,25200
busselton,-33.65,115.3333,12.78,66,0,5.45,AU,28800
qaanaaq,77.484,-69.3632,-29.68,58,42,3.04,GL,-14400
ponta do sol,32.6667,-17.1,12.22,81,92,5.22,PT,0
chuy,-33.6971,-53.4616,23.09,61,85,8.54,UY,-10800
kruisfontein,-34.0033,24.7314,21.11,83,33,1.34,ZA,7200
tiksi,71.6872,128.8694,-30.76,87,100,1.71,RU,32400
harper,4.375,-7.7169,27.61,79,19,3.65,LR,0
parola,20.8833,75.1167,22.95,27,0,0.34,IN,19800
pau brasil,-15.4642,-39.6511,27.94,73,40,2.41,BR,-10800
sarangani,5.4033,125.4636,27.95,76,61,8.31,PH,28800
malinovoye ozero,51.6753,79.7825,-3.9,98,100,1.69,RU,25200
kununurra,-15.7667,128.7333,26.0,100,100,3.09,AU,28800
lazaro cardenas,17.9583,-102.2,28.85,54,1,2.86,MX,-21600
vaini,-21.2,-175.2,25.0,100,75,2.06,TO,46800
havoysund,70.9963,24.6622,-1.0,93,90,10.8,NO,3600
mataura,-46.1927,168.8643,4.71,93,39,1.64,NZ,46800
seredka,58.1584,28.1858,-11.0,92,75,2.0,RU,10800
salalah,17.0151,54.0924,24.0,69,40,1.03,OM,14400
sao jose da coroa grande,-8.8978,-35.1478,28.41,67,34,5.26,BR,-10800
ushuaia,-54.8,-68.3,14.0,62,20,18.01,AR,-10800
villarrica,-25.75,-56.4333,27.1,65,28,3.2,PY,-10800
sao joao da barra,-21.6403,-41.0511,32.0,48,20,9.26,BR,-10800
torbay,47.6666,-52.7314,9.0,100,90,2.57,CA,-12600
alugan,12.2188,125.4808,26.2,85,10,7.15,PH,28800
cascavel,-24.9558,-53.4553,25.03,78,74,4.76,BR,-10800
nanortalik,60.1432,-45.2371,-5.65,80,100,1.23,GL,-10800
puerto ayora,-0.7393,-90.3518,30.0,70,0,8.75,EC,-21600
tuktoyaktuk,69.4541,-133.0374,-39.0,67,20,4.63,CA,-25200
brae,60.3964,-1.353,2.0,55,40,5.66,GB,0
chernyshevskiy,63.0128,112.4714,-33.76,87,99,1.46,RU,32400
kaitangata,-46.2817,169.8464,6.68,90,1,3.12,NZ,46800
thinadhoo,0.5333,72.9333,28.13,74,52,4.12,MV,18000
hermanus,-34.4187,19.2345,21.67,73,49,2.68,ZA,7200
