City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cidreira,-30.1811,-50.2056,20.86,71,52,7.62,BR,2021-02-04 23:05:41
Fortuna,40.5982,-124.1573,12.78,71,1,5.14,US,2021-02-04 23:05:41
Port Elizabeth,-33.918,25.5701,20.0,88,0,2.06,ZA,2021-02-04 23:05:41
Ayutla,20.1167,-104.3333,29.48,15,0,3.99,MX,2021-02-04 23:01:34
Puerto Ayora,-0.7393,-90.3518,30.0,62,0,5.66,EC,2021-02-04 23:04:03
Abalak,58.1286,68.5944,-10.67,96,100,3.38,RU,2021-02-04 23:05:41
Kamenka,51.3223,42.7678,3.89,98,100,6.51,RU,2021-02-04 23:05:41
Dormidontovka,47.7702,134.9076,-25.62,83,24,4.82,RU,2021-02-04 23:05:42
Bud,39.447,-86.1758,1.67,95,100,10.16,US,2021-02-04 23:05:42
Qaanaaq,77.484,-69.3632,-29.36,61,57,3.86,GL,2021-02-04 23:05:42
Rikitea,-23.1203,-134.9692,26.06,67,91,4.77,PF,2021-02-04 23:05:42
El Tarra,8.5756,-73.0949,27.16,59,42,0.95,CO,2021-02-04 23:05:42
Laguna,38.421,-121.4238,16.0,39,1,4.12,US,2021-02-04 23:05:42
Chui,-33.6971,-53.4616,18.22,81,72,6.11,UY,2021-02-04 23:05:42
Ushuaia,-54.8,-68.3,11.0,71,20,16.46,AR,2021-02-04 23:05:43
East London,-33.0153,27.9116,22.82,77,91,3.01,ZA,2021-02-04 23:05:43
Mackenzie,55.2999,-123.1698,-8.0,86,90,1.03,CA,2021-02-04 23:05:43
Pisco,-13.7,-76.2167,24.0,69,0,8.75,PE,2021-02-04 23:05:43
Norman Wells,65.282,-126.8329,-39.0,67,20,1.03,CA,2021-02-04 23:05:43
Saint-Pierre,-21.3393,55.4781,27.0,69,75,2.06,RE,2021-02-04 23:05:43
Saint Paul Harbor,57.79,-152.4072,-0.06,92,0,0.98,US,2021-02-04 23:05:43
Port Alfred,-33.5906,26.891,19.44,86,5,3.5,ZA,2021-02-04 23:05:44
